date,price_inr
2022-12-29,6509.6900000000005
2022-12-30,6653.28
2023-01-03,6380.21
2023-01-04,6044.0599999999995
2023-01-05,6109.63
2023-01-06,6122.91
2023-01-09,6199.2699999999995
2023-01-10,6234.13
2023-01-11,6429.179999999999
2023-01-12,6500.5599999999995
2023-01-13,6631.700000000001
2023-01-17,6660.75
2023-01-18,6600.99
2023-01-19,6665.7300000000005
2023-01-20,6745.41
2023-01-23,6774.46
2023-01-24,6628.38
2023-01-25,6621.74
2023-01-26,6693.12
2023-01-27,6617.59
2023-01-30,6471.51
2023-01-31,6552.85
2023-02-01,6336.22
2023-02-02,6297.21
2023-02-03,6092.200000000001
2023-02-06,6151.13
2023-02-07,6405.110000000001
2023-02-08,6513.01
2023-02-09,6477.320000000001
2023-02-10,6618.419999999999
2023-02-13,6651.62
2023-02-14,6563.639999999999
2023-02-15,6521.3099999999995
2023-02-16,6511.35
2023-02-17,6333.7300000000005
2023-02-21,6331.24
2023-02-22,6137.85
2023-02-23,6246.580000000001
2023-02-24,6323.7699999999995
2023-02-27,6272.3099999999995
2023-02-28,6381.04
2023-03-01,6438.3099999999995
2023-03-02,6478.15
2023-03-03,6608.46
2023-03-06,6672.37
2023-03-07,6428.35
2023-03-08,6354.4800000000005
2023-03-09,6274.799999999999
2023-03-10,6353.65
2023-03-13,6198.4400000000005
2023-03-14,5907.9400000000005
2023-03-15,5592.54
2023-03-16,5656.450000000001
2023-03-17,5528.63
2023-03-20,5607.4800000000005
2023-03-21,5760.200000000001
2023-03-22,5868.929999999999
2023-03-23,5790.91
2023-03-24,5745.26
2023-03-27,6048.21
2023-03-28,6068.96
2023-03-29,6054.85
2023-03-30,6168.5599999999995
2023-03-31,6281.4400000000005
2023-04-03,6673.200000000001
2023-04-04,6698.1
2023-04-05,6697.2699999999995
2023-04-06,6698.1
2023-04-10,6622.570000000001
2023-04-11,6767.820000000001
2023-04-12,6910.580000000001
2023-04-13,6819.28
2023-04-14,6854.139999999999
2023-04-17,6717.1900000000005
2023-04-18,6710.549999999999
2023-04-19,6571.9400000000005
2023-04-20,6413.41
2023-04-21,6462.38
2023-04-24,6527.12
2023-04-25,6395.15
2023-04-26,6169.389999999999
2023-04-27,6205.91
2023-04-28,6372.74
2023-05-01,6278.950000000001
2023-05-02,5951.929999999999
2023-05-03,5695.46
2023-05-04,5687.16
2023-05-05,5919.5599999999995
2023-05-08,6069.79
2023-05-09,6115.4400000000005
2023-05-10,6019.99
2023-05-11,5877.2300000000005
2023-05-12,5811.66
2023-05-15,5898.8099999999995
2023-05-16,5880.549999999999
2023-05-17,6040.74
2023-05-18,5961.0599999999995
2023-05-19,5940.3099999999995
2023-05-22,5960.2300000000005
2023-05-23,6048.21
2023-05-24,6172.71
2023-05-25,5949.4400000000005
2023-05-26,6005.049999999999
2023-05-30,5764.35
2023-05-31,5653.13
2023-06-01,5817.47
2023-06-02,5956.080000000001
2023-06-05,5987.62
